岗位,学历,年薪(万),经验(年)
Blender Python,本科,19.200000000000003,1.5
Python开发工程师,本科,22.75,3.0
Python开发工程师,本科,8.399999999999999,2.0
Python开发工程师,本科,8.399999999999999,2.0
Python开发工程师,本科,6.045,3.0
Python开发工程师,本科,6.6499999999999995,2.0
Blender Python,本科,19.200000000000003,1.5
Python测试工程师,本科,4.32,0.0
Python开发工程师,大专,4.800000000000001,1.0
Python开发工程师,本科,14.95,2.0
Python开发工程师,本科,4.92,0.0
Python数据分析师,其他,7.800000000000001,0.0
Python开发工程师,本科,17.4,5.0
Python开发工程师,本科,14.95,2.0
Python开发工程师,大专,8.399999999999999,1.0
Dbd（Python方向）,本科,4.800000000000001,0.0
Python开发工程师,本科,45.0,5.0
Architect(Python Java),本科,33.800000000000004,8.0
Python开发工程师,本科,16.200000000000003,3.0
Python Lead,本科,45.5,7.0
Python开发工程师,本科,5.52,4.0
Python开发工程师,大专,16.799999999999997,2.0
Python开发工程师,本科,14.399999999999999,3.0
Python开发工程师,本科,30.0,1.0
Python老师（双休+五险一金）,本科,6.18,0.0
Python开发工程师,本科,4.199999999999999,1.0
Python开发工程师,本科,14.399999999999999,3.0
Python开发工程师,大专,19.599999999999998,3.0
机器人编程&Python老师（双休+五险一金）,本科,6.18,1.0
Python开发工程师,本科,18.0,3.0
Python开发工程师,本科,14.399999999999999,3.0
Python测试工程师,本科,3.5999999999999996,0.0
Python开发工程师,本科,9.600000000000001,1.0
Python开发工程师,本科,18.0,3.0
Python开发工程师,本科,14.399999999999999,3.0
Python开发工程师,本科,24.0,3.0
Python开发工程师,本科,31.799999999999997,5.0
Python开发工程师,本科,19.200000000000003,6.0
Python开发工程师,本科,14.399999999999999,3.0
Python开发工程师,本科,24.0,3.0
Python开发工程师,本科,24.0,2.0
Python开发工程师,大专,19.599999999999998,3.0
Python开发工程师,本科,4.800000000000001,1.0
Python开发工程师,本科,6.0,1.0
Python开发工程师,大专,7.8,1.0
Python开发工程师,本科,22.5,3.0
Python开发工程师,本科,18.0,3.0
Python开发工程师,本科,5.1,0.0
Python开发工程师,本科,3.5999999999999996,1.0
Python开发工程师,硕士,18.0,1.0
Python开发工程师,本科,18.0,3.0
Python开发工程师,本科,22.799999999999997,1.0
Python开发工程师,本科,39.0,5.0
Python开发工程师,本科,30.0,1.0
Python老师（双休+五险一金）,本科,6.18,0.0
Python开发工程师,本科,36.0,3.0
Python开发工程师,大专,6.63,2.0
Python开发工程师,本科,5.699999999999999,1.0
机器人编程&Python老师（双休+五险一金）,本科,6.18,1.0
Python开发工程师,其他,19.8,0.0
Java  Python 全栈架构师 音视频 + 大模型技术专家,本科,25.0,5.0
Python开发工程师,本科,15.0,3.0
Python开发工程师,本科,29.400000000000002,5.0
Python开发工程师,本科,22.75,3.0
Python开发工程师,本科,15.0,3.0
Python开发工程师,本科,8.399999999999999,2.0
Python开发工程师,本科,25.799999999999997,5.0
Python开发工程师,本科,29.25,3.0
Python开发工程师,本科,23.099999999999998,2.0
Python开发工程师,本科,28.699999999999996,7.5
Python开发工程师,大专,7.8,1.0
Python开发工程师,本科,22.799999999999997,3.0
Python开发工程师,大专,13.200000000000001,2.0
Python开发工程师,本科,29.25,5.0
Python开发工程师,本科,39.0,5.0
Python开发工程师,硕士,29.25,3.0
Python开发工程师,本科,37.1,3.0
Python开发工程师,本科,18.0,5.0
Python开发工程师,大专,4.32,3.0
Python开发工程师,本科,24.0,3.0
Python开发工程师,本科,37.1,3.0
Python开发工程师,本科,18.900000000000002,4.0
Python开发工程师,本科,30.0,3.0
Python测试工程师,本科,4.32,0.0
Python开发工程师,本科,23.099999999999998,2.0
Python开发工程师,硕士,29.25,3.0
Python开发工程师,本科,30.0,3.0
Python开发工程师,本科,39.0,3.0
Python开发工程师,大专,15.0,3.0
Python开发工程师,本科,22.799999999999997,1.0
Python开发工程师,本科,15.0,2.0
人工智能、Python、C++等编程,本科,3.5999999999999996,3.0
Python编程老师,本科,3.5999999999999996,3.0
Python开发工程师,本科,18.6,0.0
Python开发工程师,本科,28.699999999999996,5.0
Python开发工程师,硕士,17.4,0.0
Python开发工程师,本科,21.0,5.5
Python开发工程师,其他,18.0,2.0
Python开发工程师,大专,7.8,1.0
Python开发工程师,本科,33.6,5.0
Python开发工程师,大专,16.799999999999997,2.0
Python开发工程师,本科,16.200000000000003,3.0
Python开发工程师,本科,33.6,5.0
Python开发工程师,本科,29.25,5.0
Python开发工程师,本科,18.0,5.0
Python测试工程师,本科,15.600000000000001,2.0
Python开发工程师,大专,15.0,2.0
Python开发工程师,大专,17.400000000000002,3.0
